Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
LKA,1970-01-01,1970-12-31,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7021,Annual value,,5.952370005000000,X
LKA,1970-01-01,1970-01-31,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7001,January,,5.952370005000000,X
LKA,1970-02-01,1970-02-28,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7002,February,,5.952370005000000,X
LKA,1970-03-01,1970-03-31,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7003,March,,5.952370005000000,X
LKA,1970-04-01,1970-04-30,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7004,April,,5.952370005000000,X
LKA,1970-05-01,1970-05-31,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7005,May,,5.952370005000000,X
LKA,1970-06-01,1970-06-30,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7006,June,,5.952370005000000,X
LKA,1970-07-01,1970-07-31,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7007,July,,5.952370005000000,X
LKA,1970-08-01,1970-08-31,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7008,August,,5.952370005000000,X
LKA,1970-09-01,1970-09-30,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7009,September,,5.952370005000000,X
LKA,1970-10-01,1970-10-31,38,'144,Sri Lanka,LCU,Local currency units per USD,LNR,Ceylon Rupee,1970,1970,7010,October,,5.952370005000000,X
